language,iso,family,dominant,variation,serial,dominant_quantifiers,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,twenty,thirty,forty,several,few
Arifama-Miniafia,aai,Austronesian,_,V,X,NQuant,99/87,51/67,23/48,10/23,20/22,3/5,34/47,4/3,5/0,12/13,4/3,27/30,0/0,1/7,1/17,24/56,0/0
Ankave,aak,Angan,_,_,_,_,51/58,26/40,33/26,13/20,13/27,1/7,12/68,1/4,0/0,10/11,4/2,22/31,0/0,1/3,1/13,27/37,0/0
Abau,aau,Sepik,NNum,_,_,NQuant,108/164,37/71,16/61,17/31,14/27,3/15,17/65,2/10,2/0,7/14,0/9,18/38,0/1,3/6,5/11,31/49,0/1
Amarasi,aaz,Austronesian,NNum,_,_,NQuant,99/67,39/117,36/66,18/32,9/39,3/8,29/83,4/6,0/9,7/26,0/9,7/58,2/12,1/17,6/25,5/12,0/0
Ambulas,abt,Ndu,NNum,V,1/3,QuantN,156/69,96/124,40/87,21/56,27/42,5/12,30/118,5/16,0/1,16/21,7/6,28/35,0/0,2/11,17/23,83/32,0/2
Inabaknon,abx,Austronesian,NumN,_,_,QuantN,389/46,113/21,63/20,43/4,35/3,11/1,72/12,3/2,0/1,21/3,4/3,41/27,9/1,6/0,17/1,90/1,3/1
Aneme Wake,aby,Yareban,NNum,V,X,NQuant,116/40,22/33,19/38,17/24,22/13,2/8,23/47,3/9,0/0,8/21,2/4,16/29,4/0,0/6,1/17,4/20,0/0
Achagua,aca,Arawakan,NumN,_,_,QuantN,449/26,79/17,39/4,17/0,33/1,7/0,26/3,4/0,1/3,14/1,3/4,26/16,1/1,5/3,14/0,56/4,0/0
Gikyode,acd,Atlantic-Congo,NNum,_,_,NQuant,76/93,47/75,7/62,15/23,9/23,0/12,19/70,1/7,1/0,5/17,3/3,20/46,0/7,3/10,4/15,24/45,1/2
Achinese,ace,Austronesian,NumN,V,X,QuantN,498/68,119/27,74/11,46/5,44/4,11/1,81/5,8/0,1/4,21/5,3/4,39/18,6/1,7/0,20/0,54/6,2/0
Saint Lucian Creole French,acf,Indo-European,NumN,_,_,QuantN,840/42,124/17,68/8,49/1,40/0,10/1,75/11,7/1,0/1,24/1,3/4,44/22,4/1,6/4,30/2,110/3,2/1
Acoli,ach,Nilotic,NNum,_,_,NQuant,64/152,31/107,12/64,22/35,6/38,0/12,13/76,1/6,0/3,6/21,0/6,9/62,1/7,1/9,2/18,34/55,0/1
Achang,acn,Sino-Tibetan,_,V,X,NQuant,39/299,60/76,64/21,17/29,28/17,7/5,22/66,7/1,5/0,7/15,3/3,39/21,3/5,3/6,17/2,23/77,1/1
Achi,acr,Mayan,NumN,_,_,QuantN,2320/114,346/54,206/35,140/3,132/3,27/1,241/21,21/1,6/1,65/7,12/8,132/69,5/3,18/12,50/7,282/6,7/0
Achuar-Shiwiar,acu,Chicham,NumN,V,X,_,106/26,85/28,60/8,43/15,26/10,4/7,62/50,8/3,0/0,19/13,3/3,54/23,1/1,7/2,27/2,40/33,0/2
Adele,ade,Atlantic-Congo,NNum,V,1/2,NQuant,50/22,33/81,12/55,5/28,10/36,0/11,14/64,1/5,1/0,6/17,1/6,9/46,0/2,0/10,3/26,26/56,1/2
Adhola,adh,Nilotic,NNum,_,_,NQuant,80/141,28/109,8/67,14/40,7/35,1/9,11/70,1/5,1/0,6/21,1/5,17/75,2/2,1/4,2/17,18/65,1/2
Adi,adi,Sino-Tibetan,NNum,V,X,QuantN,44/89,40/66,23/37,11/28,16/19,1/5,21/59,2/7,3/0,7/12,4/0,35/29,0/3,5/3,6/16,38/15,0/0
Adioukrou,adj,Atlantic-Congo,NNum,_,_,NQuant,59/60,31/102,6/77,6/41,9/35,0/12,11/76,3/6,0/5,3/23,2/4,11/60,2/7,0/8,2/16,20/73,1/0
Galo,adl,Sino-Tibetan,_,V,X,QuantN,78/115,40/58,47/32,17/31,9/27,5/6,22/57,0/8,0/0,8/10,4/3,49/27,6/1,2/7,7/13,56/18,1/2
Adyghe,ady,Abkhaz-Adyge,NumN,V,X,_,111/48,25/11,29/16,11/6,4/6,4/1,26/18,5/0,3/1,17/11,1/2,4/21,12/28,7/29,11/21,0/0,0/0
Adzera,adz,Austronesian,NNum,_,_,_,16/27,7/31,3/20,3/3,1/5,0/2,7/39,0/3,0/1,3/9,0/2,2/4,3/5,0/9,2/8,0/2,0/0
Tunisian Arabic,aeb,Afro-Asiatic,NumN,V,X,QuantN,107/132,76/39,75/10,37/10,46/0,12/0,70/16,6/1,0/5,21/4,1/5,42/27,6/2,6/4,19/0,98/4,4/0
Akeu,aeu,Sino-Tibetan,NumN,V,X,NQuant,148/197,81/61,57/21,41/17,29/16,4/5,25/59,6/1,1/2,10/12,3/2,38/22,0/0,10/2,19/2,33/63,0/1
Amele,aey,Nuclear Trans New Guinea,NNum,_,_,NQuant,141/190,56/101,9/65,7/32,8/36,0/10,27/91,2/5,2/0,10/19,3/6,29/36,4/8,3/12,5/20,29/59,0/3
Afrikaans,afr,Indo-European,NumN,_,_,QuantN,12607/443,1885/116,1050/110,622/56,605/54,261/8,1073/51,115/8,60/14,485/51,62/7,440/151,357/11,259/39,293/10,945/17,54/4
Agarabi,agd,Nuclear Trans New Guinea,NumN,_,_,QuantN,312/22,96/22,72/7,51/10,43/1,16/2,108/5,8/0,0/0,25/1,4/3,51/5,1/1,6/3,25/2,41/5,1/0
Angor,agg,Senagi,NumN,_,_,QuantN,134/58,60/36,53/11,21/12,25/8,8/2,30/39,7/0,0/1,16/5,4/3,34/12,4/0,3/4,12/2,29/17,0/0
Angaataha,agm,Angan,NNum,V,X,QuantN,78/30,57/28,17/33,24/13,21/16,2/6,22/56,2/7,0/0,8/17,4/2,24/27,0/0,2/5,4/9,18/11,0/0
Agutaynen,agn,Austronesian,NumN,_,_,QuantN,598/44,103/18,62/7,41/2,35/4,9/3,77/5,6/1,0/0,21/4,3/4,34/22,9/0,5/0,22/1,83/2,3/1
Aguaruna,agr,Chicham,NumN,_,_,QuantN,166/19,96/15,59/5,32/4,40/2,9/1,65/12,7/0,0/0,23/1,3/3,51/14,1/1,6/4,19/2,50/9,1/0
Central Cagayan Agta,agt,Austronesian,NumN,_,_,QuantN,300/21,82/21,48/18,31/7,32/6,8/1,56/12,4/1,1/0,12/4,2/3,29/16,5/2,4/2,15/1,70/3,4/0
Aguacateco,agu,Mayan,NumN,_,_,QuantN,615/24,107/20,81/6,48/5,42/1,8/2,81/4,7/0,0/0,19/4,3/3,40/17,9/1,9/0,19/3,73/2,2/0
Kahua,agw,Austronesian,_,V,1/3,QuantN,1800/138,254/336,128/222,68/139,67/77,27/68,88/252,23/26,8/7,87/65,1/18,41/99,86/41,41/45,78/40,140/34,9/0
Aghul,agx,Nakh-Daghestanian,NumN,_,_,QuantN,70/6,21/1,7/0,0/0,8/0,1/0,5/0,2/0,0/0,8/0,0/2,7/2,0/0,1/0,0/1,10/0,0/0
Akha,ahk,Sino-Tibetan,_,V,1/3,_,76/142,75/61,62/20,37/13,32/12,6/4,40/42,3/1,1/3,14/5,2/4,33/25,1/7,8/2,15/5,37/50,0/0
Arosi,aia,Austronesian,NumN,_,_,QuantN,351/25,117/13,65/14,45/3,39/5,11/0,73/13,7/0,0/2,19/3,5/2,58/12,8/1,10/3,30/1,70/3,2/0
Assyrian Neo-Aramaic,aii,Afro-Asiatic,NumN,_,_,QuantN,505/59,120/25,69/14,49/1,43/3,9/1,88/5,6/1,0/2,25/4,3/4,48/24,8/1,6/3,21/1,97/30,3/0
Aimol,aim,Sino-Tibetan,NNum,V,X,NQuant,104/330,32/80,33/35,7/34,7/35,4/7,12/69,4/1,1/0,8/16,4/2,24/32,0/8,0/8,2/19,17/36,0/2
Ajië,aji,Austronesian,NumN,V,X,QuantN,557/62,114/26,70/8,39/9,39/6,17/2,38/44,4/4,1/0,18/9,2/5,20/39,5/3,6/0,16/4,74/18,1/2
Amri Karbi,ajz,Sino-Tibetan,NumN,V,X,QuantN,340/144,61/50,49/27,35/16,15/25,6/6,71/21,7/1,3/2,17/8,6/0,50/25,6/0,7/3,16/9,84/19,4/1
Batak Angkola,akb,Austronesian,NumN,V,X,QuantN,529/54,100/42,75/11,29/23,40/7,11/1,48/39,8/0,0/5,17/6,2/5,28/30,5/5,6/4,22/0,80/8,1/0
Akawaio,ake,Cariban,NumN,_,_,QuantN,161/32,101/15,67/7,38/0,41/2,7/1,82/7,4/0,0/1,24/0,4/2,46/13,7/0,7/1,18/0,84/3,3/0
Angal Heneng,akh,Nuclear Trans New Guinea,NNum,_,_,NQuant,65/58,51/67,32/34,9/28,17/21,4/6,17/63,1/6,0/0,4/19,2/5,19/38,0/3,2/6,1/16,22/47,0/0
Alladian,ald,Atlantic-Congo,NNum,_,_,NQuant,54/153,44/84,26/54,9/39,15/25,4/6,14/71,2/4,1/0,4/19,1/6,9/42,1/7,0/9,2/17,26/74,0/2
Alangan,alj,Austronesian,NumN,V,X,QuantN,327/28,98/22,74/7,42/1,41/4,9/0,73/7,6/1,1/1,21/5,2/5,49/16,8/0,5/4,18/0,72/6,1/0
Gheg Albanian,aln,Indo-European,NumN,_,_,QuantN,8587/274,1347/138,797/111,457/62,447/73,220/10,732/33,98/17,52/20,397/41,36/8,251/100,413/25,259/44,230/17,462/42,38/1
Alune,alp,Austronesian,NNum,_,_,_,104/84,43/88,27/50,11/38,12/32,3/10,20/63,1/7,1/1,5/21,1/5,13/47,1/3,0/4,7/25,25/38,0/0
Algonquin,alq,Algic,NumN,_,_,QuantN,360/35,100/19,43/4,40/8,37/3,5/6,66/9,6/1,0/1,18/2,7/0,45/20,8/1,6/0,21/4,77/3,0/0
Southern Altai,alt,Turkic,NumN,_,_,QuantN,518/78,264/22,157/13,93/12,90/4,21/1,171/5,14/0,7/0,46/2,12/0,120/3,18/2,20/0,38/0,186/31,3/0
Alyawarr,aly,Pama-Nyungan,_,V,1/2,_,48/17,23/55,30/26,6/5,10/14,2/11,11/23,3/3,0/0,9/13,1/4,9/14,0/0,5/3,3/16,3/1,0/1
Alur,alz,Nilotic,NNum,_,_,NQuant,98/212,21/125,4/68,9/46,7/41,0/13,6/84,1/6,0/0,4/23,0/7,6/66,1/8,4/3,4/17,18/93,1/0
Yanesha',ame,Arawakan,NumN,_,_,QuantN,231/17,80/18,34/10,27/11,36/3,7/2,46/13,4/2,0/0,6/4,3/1,49/24,6/0,9/0,14/3,60/3,0/0
Hamer-Banna,amf,South Omotic,_,V,X,QuantN,84/155,53/62,25/43,20/19,9/23,4/8,57/25,1/6,1/0,15/6,4/1,58/18,9/0,2/2,20/4,85/14,0/0
Amharic,amh,Afro-Asiatic,NumN,_,_,QuantN,933/72,372/36,208/12,158/11,125/3,33/5,239/11,20/0,3/0,67/3,9/2,245/13,26/3,18/9,56/6,243/21,6/0
Ambai,amk,Austronesian,NNum,_,_,NQuant,95/116,34/85,25/59,6/34,9/27,4/6,19/63,3/2,0/0,8/14,3/4,17/43,0/1,0/6,0/16,22/37,0/0
Ama (Papua New Guinea),amm,Left May,NNum,_,_,_,36/37,43/54,21/33,11/24,16/22,4/5,31/54,3/2,0/0,8/13,0/5,33/26,1/1,0/4,0/15,11/15,0/0
Amanab,amn,Border,NumN,_,_,QuantN,281/60,186/35,132/8,90/13,75/8,12/4,183/20,15/0,2/0,52/3,8/2,77/26,5/1,9/8,28/0,120/9,0/0
Alamblak,amp,Sepik,NumN,_,_,QuantN,188/7,80/23,57/8,35/5,34/4,9/1,75/4,6/0,0/0,22/3,6/0,39/8,0/0,5/3,14/0,44/2,0/0
Amarakaeri,amr,Harakmbut,NumN,_,_,QuantN,62/17,90/10,51/4,41/3,36/3,10/2,61/6,6/0,0/0,21/0,4/2,53/12,1/1,8/0,21/1,21/1,0/0
Guerrero Amuzgo,amu,Otomanguean,NumN,V,X,QuantN,556/31,119/21,71/10,48/1,43/2,11/1,80/7,8/0,4/1,22/0,2/5,39/25,9/1,6/0,19/1,105/0,1/0
Anmatyerre,amx,Pama-Nyungan,_,V,X,_,19/10,6/10,2/8,2/1,5/2,1/1,2/4,1/0,0/0,0/0,0/1,12/5,0/0,0/0,0/1,0/0,0/1
Obolo,ann,Atlantic-Congo,NNum,V,X,QuantN,241/186,41/108,20/67,21/33,13/33,1/11,15/76,2/5,1/4,24/1,3/3,50/17,2/2,5/1,16/7,101/4,1/0
Denya,anv,Atlantic-Congo,NNum,V,X,QuantN,126/80,43/73,23/56,9/27,18/11,1/7,15/56,2/5,0/0,8/13,0/4,8/44,1/6,1/8,17/3,82/4,1/0
Anindilyakwa,aoi,Gunwinyguan,NumN,_,_,QuantN,58/6,23/5,18/1,3/1,9/1,3/0,38/4,3/0,0/0,9/2,0/1,12/5,3/2,5/0,9/0,10/1,0/0
Mufian,aoj,Nuclear Torricelli,NNum,V,1/3,QuantN,740/95,96/82,32/63,32/23,11/23,6/11,46/85,3/9,1/0,21/18,1/11,24/71,1/1,2/7,4/26,37/2,0/0
Ömie,aom,Koiarian,_,V,X,NQuant,76/76,48/68,21/45,13/12,21/18,2/9,24/48,7/2,0/0,9/12,1/5,24/32,0/2,1/7,2/15,12/24,0/1
Bumbita Arapesh,aon,Nuclear Torricelli,NumN,_,_,QuantN,291/6,88/12,54/3,24/3,25/5,6/0,71/8,7/1,0/0,16/3,5/1,29/21,0/0,3/0,12/3,73/4,1/0
Uab Meto,aoz,Austronesian,NNum,_,_,NQuant,104/169,27/118,16/73,8/46,6/41,3/9,14/76,4/4,1/4,4/19,0/7,6/65,0/8,2/8,2/19,19/55,0/3
Sa'a,apb,Austronesian,NumN,V,X,_,439/13,115/20,64/7,41/6,43/2,10/2,79/7,3/1,1/0,22/1,0/6,50/28,3/0,9/0,20/0,35/25,2/0
Bukiyip,ape,Nuclear Torricelli,NumN,_,_,QuantN,324/14,81/13,60/5,22/2,24/3,5/0,71/7,4/2,0/0,16/2,5/1,28/20,0/0,4/0,15/3,67/5,1/0
Apinayé,apn,Nuclear-Macro-Je,NNum,_,_,_,11/12,26/49,10/44,6/13,9/17,0/10,12/40,2/2,0/0,9/9,3/1,16/22,1/0,0/6,0/11,3/4,0/0
Arop-Lokep,apr,Austronesian,NNum,V,1/2,_,182/89,47/79,28/47,13/31,8/30,3/8,14/70,5/4,0/0,5/18,0/6,15/56,3/4,0/9,5/19,26/37,1/0
Apatani,apt,Sino-Tibetan,NNum,V,X,QuantN,71/177,36/81,29/41,28/11,12/26,3/7,55/30,4/4,0/1,7/15,4/2,41/28,7/1,1/8,6/14,103/9,0/1
Apurinã,apu,Arawakan,NumN,_,_,QuantN,148/25,87/23,63/8,50/3,33/7,9/3,50/22,6/2,3/1,19/6,5/1,42/19,8/1,6/2,18/2,54/10,2/0
Western Apache,apw,Athabaskan-Eyak-Tlingit,_,V,X,_,129/88,69/67,64/11,29/9,25/20,7/5,34/45,6/1,0/0,13/9,4/1,55/14,3/1,2/7,18/2,41/39,0/1
Apalaí,apy,Cariban,_,_,_,QuantN,123/18,66/34,47/17,15/17,30/6,4/2,26/35,5/1,0/0,9/11,2/4,20/28,0/0,3/1,13/4,55/15,0/1
Safeyoka,apz,Angan,_,V,X,NQuant,53/27,49/58,30/32,16/18,31/22,3/1,43/47,4/0,0/0,16/6,2/5,18/27,0/0,4/6,3/22,17/27,0/0
Standard Arabic,arb,Afro-Asiatic,NumN,V,1/3,NQuant,422/1128,226/233,733/195,401/150,463/89,207/20,680/124,106/3,61/8,354/70,43/10,339/125,391/42,257/49,234/14,65/416,8/20
Western Arrarnta,are,Pama-Nyungan,_,V,X,QuantN,82/107,37/61,44/32,10/16,20/17,2/7,25/36,2/4,0/0,7/15,1/3,36/16,0/1,3/4,10/5,22/9,1/1
Arabela,arl,Zaparoan,NumN,_,_,QuantN,220/17,99/8,57/4,36/3,33/2,10/1,74/6,7/1,0/0,20/2,4/1,57/12,1/1,7/0,19/1,76/8,3/0
Mapudungun,arn,Araucanian,NumN,_,_,QuantN,782/39,122/20,79/7,52/1,47/1,10/2,83/5,8/0,4/1,25/1,3/4,54/21,8/1,12/0,35/0,89/2,4/0
Arapaho,arp,Algic,_,_,_,QuantN,43/4,17/5,8/2,1/0,8/0,2/0,6/0,0/2,0/0,6/4,0/2,6/6,1/0,1/0,1/0,7/1,0/0
Moroccan Arabic,ary,Afro-Asiatic,NumN,V,X,QuantN,258/57,66/25,34/3,10/2,33/1,6/0,18/2,2/0,1/1,12/2,0/4,13/31,0/0,4/4,4/0,34/10,1/0
Egyptian Arabic,arz,Afro-Asiatic,NumN,V,1/3,NQuant,228/576,136/148,372/79,204/53,221/40,103/10,364/38,52/2,25/6,182/27,19/4,143/63,179/26,124/24,118/7,36/218,2/9
Cishingini,asg,Atlantic-Congo,NNum,_,_,NQuant,77/101,41/86,11/61,11/38,11/32,2/10,9/75,3/5,0/4,4/22,0/6,13/46,2/6,0/8,2/18,17/55,0/1
Dano,aso,Nuclear Trans New Guinea,NNum,_,_,NQuant,56/70,35/68,21/47,20/20,19/17,1/10,24/57,0/7,0/0,7/9,3/3,38/35,1/4,0/10,1/19,15/25,0/1
Pele-Ata,ata,Pele-Ata,NNum,V,X,_,168/127,50/114,27/81,13/33,16/40,2/9,28/105,2/6,6/1,6/32,1/8,12/60,3/9,3/17,5/25,33/43,0/1
Zaiwa,atb,Sino-Tibetan,_,V,X,NQuant,31/219,57/77,69/15,24/16,31/14,8/3,24/65,8/0,2/0,9/13,4/2,34/26,1/2,7/0,15/2,8/65,0/0
Ata Manobo,atd,Austronesian,NumN,_,_,QuantN,385/41,111/13,65/5,38/4,40/5,9/3,72/11,8/0,0/1,21/4,4/3,29/24,9/1,6/2,18/0,82/1,3/1
Ivbie North-Okpela-Arhe,atg,Atlantic-Congo,NNum,V,X,QuantN,93/140,36/88,28/57,18/32,12/30,2/10,13/73,5/2,0/2,7/17,0/6,23/47,2/6,3/5,1/18,32/46,3/0
Pamplona Atta,att,Austronesian,NumN,_,_,QuantN,280/36,116/19,62/8,42/3,39/2,8/4,76/10,6/1,0/0,21/2,3/4,48/19,9/1,6/0,17/2,75/5,3/0
Waorani,auc,Waorani,_,V,X,_,81/38,46/39,82/18,27/35,22/18,9/0,26/54,6/0,0/0,13/12,4/4,46/20,1/5,6/4,18/2,29/28,1/1
Anuki,aui,Austronesian,_,_,_,_,19/10,8/7,7/1,0/2,3/1,2/0,4/3,0/0,0/0,0/1,0/0,6/7,0/0,0/0,0/1,0/1,0/0
Awiyaana,auy,Nuclear Trans New Guinea,NumN,_,_,QuantN,46/18,28/11,20/12,13/6,16/9,4/2,10/14,4/2,0/0,10/6,0/2,23/18,2/1,4/1,7/7,9/5,0/0
Avaric,ava,Nakh-Daghestanian,NumN,_,_,QuantN,340/43,104/9,60/9,38/6,33/2,9/3,74/11,6/0,0/1,19/1,5/2,63/10,5/2,5/4,18/2,80/10,0/0
Au,avt,Nuclear Torricelli,NNum,V,1/3,QuantN,102/56,75/61,17/49,20/13,9/19,1/9,15/95,1/5,0/0,9/11,1/6,12/38,0/0,3/4,13/3,27/13,0/0
Avokaya,avu,Central Sudanic,NNum,_,_,_,75/56,29/83,12/66,9/25,10/26,0/8,19/50,2/5,0/0,6/14,0/6,12/38,0/1,2/5,1/14,21/22,1/1
Awadhi,awa,Indo-European,NumN,_,_,QuantN,693/53,125/8,76/8,41/0,45/0,11/0,81/1,6/0,4/0,24/1,6/0,66/1,2/1,7/2,18/0,92/6,0/0
Awa (Papua New Guinea),awb,Nuclear Trans New Guinea,NumN,_,_,QuantN,106/32,65/11,50/6,16/6,34/3,9/0,66/12,7/2,0/0,18/4,5/0,34/13,0/0,5/3,14/1,49/9,2/1
Aekyom,awi,Kamula-Elevala,NNum,_,_,NQuant,111/80,50/58,34/54,7/27,18/15,4/4,18/54,2/4,2/0,7/12,1/3,18/33,0/1,0/8,2/13,18/33,0/1
Awara,awx,Nuclear Trans New Guinea,NNum,_,_,_,4/11,2/16,5/12,4/2,0/3,1/1,7/32,1/2,0/0,1/7,0/1,4/3,3/4,3/1,2/8,0/1,0/0
Ayoreo,ayo,Zamucoan,NNum,V,X,_,49/39,42/45,24/38,9/25,15/18,7/9,28/56,1/5,0/0,13/7,0/7,16/38,1/0,1/5,4/16,26/17,1/0
Central Aymara,ayr,Aymaran,NumN,_,_,QuantN,4300/187,1091/96,713/61,406/28,318/53,178/24,689/30,97/6,60/7,295/24,33/3,261/23,363/45,235/38,230/16,287/19,25/3
Azerbaijani,aze,_,NumN,_,_,QuantN,6720/449,1881/157,1161/90,678/35,661/78,300/23,1119/29,137/8,77/3,630/20,58/5,666/27,583/43,391/10,317/14,561/56,46/6
San Pedro Amuzgos Amuzgo,azg,Otomanguean,NumN,_,_,QuantN,550/23,116/22,69/12,46/5,44/1,11/2,81/5,7/1,3/1,21/3,5/1,43/22,7/2,6/0,19/2,84/4,1/0
Highland Puebla Nahuatl,azz,Uto-Aztecan,NumN,_,_,QuantN,713/37,110/23,77/6,49/3,47/0,10/0,72/12,6/1,0/0,23/2,4/3,49/16,9/1,9/1,19/2,98/1,2/0
Bashkir,bak,Turkic,NumN,_,_,QuantN,306/43,128/9,74/3,48/3,39/3,8/4,80/4,7/0,0/0,22/2,7/0,69/5,9/0,6/0,19/2,95/15,1/1
Bambara,bam,Mande,NNum,_,_,NQuant,78/336,32/118,8/75,10/46,8/37,0/12,16/73,0/7,0/1,4/22,2/5,20/53,0/8,0/10,1/20,18/93,0/3
Balinese,ban,Austronesian,NumN,V,X,QuantN,234/72,38/92,48/31,20/16,41/4,10/2,30/54,8/0,0/4,9/12,1/6,34/35,1/0,8/2,32/2,76/4,3/0
Waimaha,bao,Tucanoan,NumN,_,_,QuantN,319/40,86/24,70/5,22/14,57/7,7/5,49/19,5/1,0/0,16/5,3/3,34/19,2/1,7/3,20/1,87/13,0/0
Bavarian,bar,Indo-European,NumN,_,_,QuantN,3311/119,476/48,319/40,177/22,129/26,81/9,320/27,36/3,14/4,157/21,17/4,104/34,80/9,70/11,90/5,169/7,17/1
Vengo,bav,Atlantic-Congo,NNum,_,_,NQuant,102/81,36/88,8/60,6/36,8/39,2/10,15/69,1/6,1/1,8/20,0/6,9/63,4/6,2/7,2/18,16/71,2/0
Baatonum,bba,Atlantic-Congo,NNum,_,_,NQuant,262/318,130/430,117/282,34/176,47/166,17/83,48/287,7/41,16/20,37/133,2/17,39/108,13/147,12/101,11/106,48/106,2/4
Barai,bbb,Koiarian,NNum,_,_,_,185/122,72/117,38/74,40/28,28/25,3/20,36/96,3/4,0/0,6/31,2/8,29/38,4/12,6/23,8/25,27/24,2/3
Batak Toba,bbc,Austronesian,NumN,V,X,QuantN,332/116,86/49,63/20,36/15,34/12,11/1,58/32,6/1,0/5,20/7,0/6,44/30,5/4,10/0,19/2,104/16,3/2
Ghomálá',bbj,Atlantic-Congo,NNum,V,1/2,QuantN,445/44,22/98,17/60,15/29,8/24,2/10,11/75,1/5,0/1,5/22,1/5,9/66,0/3,1/6,3/15,28/31,3/0
Girawa,bbr,Nuclear Trans New Guinea,_,V,X,_,392/45,45/64,33/40,20/16,17/22,0/10,19/66,1/5,3/0,8/13,0/6,21/31,0/1,2/4,1/13,24/27,0/0
Southern Balochi,bcc,Indo-European,NumN,_,_,QuantN,63/1,20/2,8/0,8/0,12/0,4/1,0/0,2/0,0/0,0/0,0/0,11/0,0/0,1/0,2/0,17/0,0/0
Bariai,bch,Austronesian,NNum,V,X,NQuant,170/130,65/181,15/115,24/64,10/62,4/30,28/116,7/9,6/1,9/39,1/17,18/89,6/25,3/23,5/50,32/57,1/2
Baoulé,bci,Atlantic-Congo,NNum,_,_,NQuant,128/150,42/92,7/64,17/13,9/33,1/8,16/68,3/5,0/2,7/20,2/5,21/41,0/3,1/8,0/17,29/50,0/0
Central Bikol,bcl,Austronesian,NumN,V,X,QuantN,700/47,119/20,73/8,41/3,46/1,9/2,82/4,6/0,0/4,21/5,3/4,38/24,8/1,6/4,19/2,88/4,3/0
Kaluli,bco,Bosavi,NNum,_,_,NQuant,11/18,3/11,4/15,1/5,0/3,0/3,4/6,0/2,0/0,0/0,0/1,4/3,0/0,0/0,1/9,4/8,0/0
Bana,bcw,Afro-Asiatic,NNum,V,1/2,_,240/76,46/86,33/47,24/20,19/26,1/13,34/46,3/3,0/2,4/17,0/7,9/46,1/2,3/6,4/27,36/40,0/0
Bunama,bdd,Austronesian,NNum,V,1/2,NQuant,259/127,44/68,14/47,13/23,25/17,2/8,21/54,2/3,0/1,9/12,3/3,36/30,5/4,1/9,1/15,20/36,0/0
Baka (Sudan),bdh,Central Sudanic,NNum,V,1/2,QuantN,183/55,37/78,7/69,5/40,7/38,0/9,19/63,1/7,0/5,6/25,0/6,17/43,2/4,3/4,2/18,61/2,0/0
Beaver,bea,Athabaskan-Eyak-Tlingit,_,_,_,QuantN,16/9,7/2,6/0,1/0,4/1,1/0,8/0,0/0,0/0,1/0,0/0,6/1,0/0,0/0,0/0,9/2,0/0
Benabena,bef,Nuclear Trans New Guinea,_,V,X,_,87/65,57/41,52/33,18/34,12/13,3/0,36/44,4/2,1/0,6/13,2/3,41/23,0/0,3/3,8/8,37/28,0/2
Belarusian,bel,Indo-European,NumN,_,_,QuantN,441/138,221/45,141/20,97/4,89/3,24/0,162/14,12/1,4/2,48/5,6/7,99/49,18/1,10/10,39/4,212/24,10/0
Bemba (Zambia),bem,Atlantic-Congo,NNum,_,_,NQuant,411/578,121/657,64/400,59/216,14/267,9/110,25/370,8/52,10/26,45/305,1/24,28/204,31/260,13/157,25/158,21/228,1/10
Bengali,ben,Indo-European,NumN,_,_,QuantN,7133/465,1892/205,874/83,493/37,468/30,219/7,963/27,89/10,61/7,429/21,56/0,485/56,237/41,246/7,257/7,741/57,36/4
Beembe,beq,Atlantic-Congo,NNum,_,_,NQuant,91/235,34/103,14/59,26/26,10/34,1/11,10/79,0/8,0/1,11/15,0/6,15/60,3/5,5/4,8/18,17/95,2/1
Jur Modo,bex,Central Sudanic,NNum,V,1/2,NQuant,131/64,45/78,20/57,8/36,7/32,0/10,15/60,0/6,1/3,3/18,0/6,11/42,0/0,0/6,2/17,19/46,0/1
Bafut,bfd,Atlantic-Congo,NNum,_,_,NQuant,75/110,36/88,10/66,9/37,14/33,0/8,13/70,1/6,1/1,4/22,0/6,8/61,1/5,0/8,2/23,22/65,0/1
Malba Birifor,bfo,Atlantic-Congo,NNum,_,_,NQuant,108/99,27/107,15/57,7/44,8/34,0/11,9/77,3/4,0/0,6/19,1/6,19/39,1/6,0/9,2/19,26/51,1/0
Bawm Chin,bgr,Sino-Tibetan,NNum,_,_,NQuant,61/288,23/95,15/70,2/47,11/35,0/11,9/82,2/6,1/0,4/20,4/2,23/35,1/8,2/8,3/17,13/108,1/4
Tagabawa,bgs,Austronesian,NumN,_,_,QuantN,564/52,156/24,103/7,62/5,54/8,13/5,123/12,16/0,8/1,41/4,5/4,52/25,24/2,31/4,55/3,84/5,3/0
Banggai,bgz,Austronesian,NumN,_,_,QuantN,599/71,113/30,71/14,45/6,43/5,11/1,68/14,8/0,0/1,21/4,3/2,44/16,6/2,13/0,21/0,84/9,1/0
Binandere,bhg,Nuclear Trans New Guinea,NNum,_,_,NQuant,50/65,10/41,5/29,7/10,2/11,0/5,4/19,0/3,0/1,5/6,3/3,16/12,0/0,0/3,1/11,9/32,0/2
Bimin,bhl,Nuclear Trans New Guinea,NumN,V,X,_,81/44,62/83,64/27,61/10,42/5,9/5,104/24,9/0,2/0,27/11,6/2,62/4,6/2,2/13,15/8,22/32,0/0
Bima,bhp,Austronesian,NumN,_,_,QuantN,512/65,115/23,77/11,46/3,46/1,10/1,79/6,8/0,1/3,22/4,3/4,38/18,6/1,7/2,19/0,84/6,2/0
