language,iso,family,dominant,variation,serial,dominant_quantifiers,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,twenty,thirty,forty,several,few
Urarina,ura,Urarina,NumN,_,_,QuantN,230/32,82/17,68/4,34/11,37/1,7/3,63/8,5/2,0/0,20/3,5/1,54/14,3/1,6/0,22/0,51/5,1/0
Urubú-Kaapor,urb,Tupian,NumN,_,_,QuantN,88/29,103/19,57/13,26/2,27/10,12/0,40/34,6/3,0/0,12/8,4/1,47/15,3/0,5/2,21/0,27/9,1/0
Urdu,urd,Indo-European,NumN,_,_,QuantN,2656/164,507/37,307/24,163/0,172/8,31/0,312/19,28/0,14/0,87/12,23/2,240/7,25/2,33/2,69/1,403/25,11/0
Urak Lawoi',urk,Austronesian,NumN,V,X,_,267/73,77/69,68/19,40/13,44/4,10/2,42/47,7/0,1/4,19/6,1/6,31/30,4/5,7/2,19/0,53/46,0/1
Usarufa,usa,Nuclear Trans New Guinea,NumN,V,X,QuantN,163/16,39/19,25/13,22/6,13/13,6/2,71/9,7/2,0/0,10/3,4/1,37/11,0/0,1/5,12/9,27/3,0/0
Uspanteco,usp,Mayan,NumN,_,_,QuantN,788/29,122/18,74/8,46/4,41/1,12/4,136/11,12/0,1/1,40/1,4/4,69/18,9/1,10/0,28/5,88/1,2/0
Lote,uvl,Austronesian,NNum,V,1/3,_,125/73,50/71,26/47,23/19,9/30,2/7,22/57,3/5,0/0,11/14,1/4,14/42,0/1,0/11,4/14,20/24,0/0
Uzbek,uzb,Turkic,NumN,_,_,QuantN,2441/223,832/72,497/37,280/27,281/24,113/5,566/10,58/5,26/3,228/11,33/2,294/14,178/8,136/10,155/7,312/40,12/0
Vagla,vag,Atlantic-Congo,NNum,_,_,NQuant,79/83,27/89,6/64,4/39,7/34,0/10,14/65,1/6,1/0,4/18,3/3,13/37,3/6,3/3,0/19,17/33,0/0
Venda,ven,Atlantic-Congo,NNum,_,_,NQuant,613/463,107/544,72/341,57/166,35/133,9/86,79/362,8/30,3/15,38/167,0/27,18/178,6/67,17/69,20/82,44/238,5/14
Vietnamese,vie,Austroasiatic,NumN,_,_,QuantN,12540/517,2599/258,1546/145,951/81,861/77,367/26,1476/67,181/18,110/12,679/60,63/29,563/199,497/29,413/68,444/19,1141/93,68/5
Iduna,viv,Austronesian,NNum,_,_,NQuant,108/134,42/80,14/57,12/12,15/17,1/9,27/59,0/6,0/0,2/15,3/3,19/36,0/0,0/6,0/15,18/44,0/1
Ayautla Mazatec,vmy,Otomanguean,NumN,V,X,QuantN,779/46,125/20,76/11,46/5,45/1,9/2,60/25,6/1,1/3,21/4,1/5,39/29,2/1,5/4,19/2,105/3,4/0
Vunjo,vun,Atlantic-Congo,NNum,_,_,NQuant,107/186,27/107,16/55,22/29,7/37,3/10,16/70,0/6,0/3,4/21,1/5,8/65,1/8,0/10,5/23,28/76,1/0
Vute,vut,Atlantic-Congo,NNum,_,_,NQuant,77/115,24/105,11/73,17/31,6/37,1/11,13/74,1/7,1/3,10/16,1/6,9/61,0/8,1/9,2/19,16/54,0/1
Waffa,waj,Nuclear Trans New Guinea,_,V,X,QuantN,84/23,54/19,52/8,11/30,34/22,5/4,20/51,10/1,0/0,11/11,1/4,34/20,1/1,2/1,8/8,57/8,1/0
Wolaytta,wal,Ta-Ne-Omotic,NumN,_,_,QuantN,1233/126,591/78,339/55,215/23,181/35,94/9,356/18,37/7,15/3,175/19,15/4,131/45,140/36,97/17,104/11,206/26,12/3
